id_article,author,year
journals/alife/MasumoriSMMBFTI20,Hirokazu Takahashi,2020
journals/alife/MasumoriSMMBFTI20,Takashi Ikegami,2020
journals/alife/Penny15,Simon Penny,2015
journals/alife/HowisonHHI20,Toby Howison,2020
journals/alife/HowisonHHI20,Simon Hauser,2020
journals/alife/HowisonHHI20,Josie Hughes,2020
journals/alife/HowisonHHI20,Fumiya Iida,2020
journals/alife/Norman15,Sally Jane Norman,2015
journals/alife/Bull16,Larry Bull,2016
journals/alife/PreenB17,Richard John Preen,2017
journals/alife/PreenB17,Larry Bull,2017
journals/alife/Turney20,Peter D. Turney,2020
journals/alife/Hanczyc20,Martin M. Hanczyc,2020
journals/alife/Khajehabdollahi20,Sina Khajehabdollahi,2020
journals/alife/Khajehabdollahi20,Olaf Witkowski,2020
journals/alife/RavignaniV18,Andrea Ravignani,2018
journals/alife/RavignaniV18,Tessa Verhoef,2018
journals/alife/VirgoIM16,Nathaniel Virgo,2016
journals/alife/VirgoIM16,Takashi Ikegami,2016
journals/alife/VirgoIM16,Simon McGregor,2016
journals/alife/Powers18,Simon T. Powers,2018
journals/alife/ItoPSA16,Takashi Ito,2016
journals/alife/ItoPSA16,Marcin L. Pilat,2016
journals/alife/ItoPSA16,Reiji Suzuki,2016
journals/alife/ItoPSA16,Takaya Arita,2016
journals/alife/VeenstraSSBR20,Frank Veenstra,2020
journals/alife/VeenstraSSBR20,Pablo González de Prado Salas,2020
journals/alife/VeenstraSSBR20,Kasper Støy,2020
journals/alife/VeenstraSSBR20,Josh Bongard,2020
journals/alife/VeenstraSSBR20,Sebastian Risi,2020
journals/alife/KraussSM17,Patrick Krauss,2017
journals/alife/KraussSM17,Holger Schulze,2017
journals/alife/KraussSM17,Claus Metzner,2017
journals/alife/LiardPRB20,Vincent Liard,2020
journals/alife/LiardPRB20,David P. Parsons,2020
journals/alife/LiardPRB20,Jonathan Rouzaud-Cornabas,2020
journals/alife/LiardPRB20,Guillaume Beslon,2020
journals/alife/TamaruYH20,Juntaro Tamaru,2020
journals/alife/TamaruYH20,Toshiya Yui,2020
journals/alife/TamaruYH20,Tomoko Hashida,2020
journals/alife/Channon19,Alastair Channon,2019
journals/alife/PackardBCIRST19,Norman H. Packard,2019
journals/alife/PackardBCIRST19,Mark A. Bedau,2019
journals/alife/PackardBCIRST19,Alastair Channon,2019
journals/alife/PackardBCIRST19,Takashi Ikegami,2019
